ID,Full Name,Korean Name,Birth Year,Group,Country,Gender
900,Kim Hyerim,김혜림,1993,Hello Venus,South Korea,F
901,Huang Ziting,황자정,2003,,Taiwan,F
902,Oh Sejin,오세진,1997,ANS,South Korea,F
903,Oh Hyesoo,오혜수,1997,RedSquare,South Korea,F
904,Im Minji,임민지,1989,Fiestar,South Korea,F
905,Pranpriya Manoban,쁘란쁘리야 마노반,1997,BLACKPINK,Thailand,F
906,Moon Liya,문리야,2000,MIXX,South Korea,F
907,Kim Jiwon,김지원,2004,IVE,South Korea,F
908,Park Sooyoung,박수영,1992,After School,South Korea,F
909,Kang Yejin,강예진,2001,Nature,South Korea,F
910,Choi Yoojung,최유정,2001,Pixy,South Korea,F
911,Jin Longguo,진룽궈,1996,JBJ,China,M
912,Kim Hosung,김호성,1996,VAV,South Korea,M
913,Won Jihoon,원지훈,1996,14U,Indonesia,M
914,Kim Taewoo,김태우,1999,BLANK2Y,South Korea,M
915,Yang Dongsik,양동식,2001,Kingdom,South Korea,M
916,Park Jisung,박지성,1994,,South Korea,M
917,Im Hayoung,임하영,1997,NATURE,South Korea,F
918,Jo Hankyeung,조한경,1991,BADKIZ,South Korea,F
919,Kim Sookyung,김수경,2000,Weki Meki,South Korea,F
920,Wong Junghei,웡육헤이,1999,NCT,Hong Kong,M
921,Noh Hyojung,노효정,2002,Weki Meki,South Korea,F
922,Kim Daeun,김대은,2004,woo!ah!,South Korea,F
923,Lee Luda,이루다,1997,Cosmic Girls,South Korea,F
924,Lee Gyeonghun,이경훈,1993,14U,South Korea,M
925,Lu Han,루한,1990,,China,M
926,Park Sunyoung,박선영,1993,f(x),South Korea,F
927,Jung Sungmin,정성민,2000,DKB,South Korea,M
928,Choi Gyeongseok,최경석,2003,BLITZERS,South Korea,M
929,Syo Dongchun,쇼동청,2001,VARSITY,China,M
930,Lee Hyunggeun,이형근,1994,Hot Blood Youth,South Korea,M
931,Yasufuku Marin,야스후쿠 마린,2001,Bling Bling,Japan,F
932,Mark Lee,마크 리,1999,NCT,Canada,M
933,Mark Yien Tuan,마크 이엔 투안,1993,GOT7,USA,M
934,Takata Mashiho,타카타 마시호,2001,Treasure,Japan,M
935,Sakamoto Mashiro,사카모토 마시로,1999,Kep1er,Japan,F
936,Shim Changmin,심창민,1988,TVXQ,South Korea,M
937,Jeong Chaeyoung,정채영,2001,,South Korea,F
938,Hirokawa Mao,히로카와 마오,2004,Cherry Bullet,Japan,F
939,Shaoxi Mengna,,2000,HOT ISSUE,China,F
940,Bae Yujin,배유진,1996,Girlkind,South Korea,F
941,Meng Meiqi,멍메이치,1998,Cosmic Girls,China,F
942,Son Hyunmi,손현미,1997,MIXX,South Korea,F
943,Han Eunji,한은지,2000,Everglow,South Korea,F
944,Lee Mihee,이미희,2000,BOTOPASS,South Korea,F
945,Lee Mijoo,이미주,1994,Lovelyz,South Korea,F
946,Morisaki Daisuke,모리사키 다이스케,2001,BLANK2Y,Japan,M
947,Matsuda Miko,마츠다 미코,1995,Honey Popcorn,Japan,F
948,Katae Miku,카타에 미쿠,2002,Pink Fantasy,Japan,F
949,Lee Yongsoo,이용수,1999,OnlyOneOf,South Korea,M
950,Kim Minhak,김민학,1996,Romeo,South Korea,M
951,Jung Mimi,정미미,1993,Gugudan,South Korea,F
952,Kim Mihyun,김미현,1995,Oh My Girl,South Korea,F
953,Lee Minyoung,이민영,1991,miss A,South Korea,F
954,Lee Mincheon,이민천,1997,We In The Zone,South Korea,M
955,Kwon Mina,권민아,1993,,South Korea,F
956,Myoui Mina,묘이 미나,1997,Twice,Japan,F
957,Kang Mina,강미나,1999,Gugudan,South Korea,F
958,Bang Minah,방민아,1993,Girl's Day,South Korea,F
959,Hong Minchan,홍민찬,1998,Verivery,South Korea,M
960,Son Mingi,송민기,1999,ATEEZ,South Korea,M
961,Kim Mingyu,김민규,1997,Seventeen,South Korea,M
962,Park Minha,박민하,1991,,South Korea,F
963,Joo Minhee,주민희,1993,Stellar,South Korea,F
964,Kang Minhee,강민희,2002,CRAVITY,South Korea,M
965,Choi Minho,최민호,1991,SHINee,South Korea,M
966,Lee Minho,이민호,1995,MY.st,South Korea,M
967,Choi Minhwan,최민환,1992,FTISLAND,South Korea,M
968,Lee Minhyuk,이민혁,1990,BtoB,South Korea,M
969,Lee Minhyuk,이민혁,1993,MONSTA X,South Korea,M
970,Kang Minhyuk,강민혁,1991,CNBLUE,South Korea,M
971,Kim Minhyuk,김민혁,1999,D-CRUNCH,South Korea,M
972,Hwang Minhyun,황민현,1995,NU'EST,South Korea,M
973,Seong Minjae,성민재,1994,Sonamoo,South Korea,F
974,Shin Minjae,신민재,1991,Tahiti,South Korea,F
975,Jo Minjae,조민재,1994,Spectrum,South Korea,M
976,Song Minjae,송민재,2003,MCND,South Korea,M
977,Kim Minji,김민지,2001,Busters,South Korea,F
978,Kim Minji,김민지,2004,NewJeans,South Korea,F
979,Kim Minjoo,김민주,2001,IZ*ONE,South Korea,F
980,Kang Minjoo,강민주,2001,GWSN,South Korea,F
981,Kim Minjun,김민준,1999,NINE.i,South Korea,M
982,Cha Minjung,차민정,2004,,South Korea,F
983,Kang Minkyung,강민경,1990,Davichi,South Korea,F
984,Nicha Yontararak,니차 욘타라락,1997,(G)I-DLE,Thailand,F
985,Song Minho,송민호,1993,WINNER,South Korea,M
986,Gook Minpyo,국민표,1994,B.I.G,South Korea,M
987,Kim Minseo,김민서,2004,woo!ah!,South Korea,F
988,Park Minseo,박민서,2003,Saturday,South Korea,F
989,Kim Minseo,김민서,2002,DRIPPIN,South Korea,M
990,Park Minsu,김민수,1993,Boys Republic,South Korea,M
991,Kim Minsu,김민수,2000,TOO,South Korea,M
992,Kim Minhwi,김민휘,1996,Romeo,South Korea,M
993,Kunpat Phonpawiworakun,쿤팟 퍼언빠위워라쿤,1994,Tiny-G,Thailand,F
994,No Minwoo,노민우,1995,Boyfriend,South Korea,M
995,Ha Minwoo,하민우,1990,ZE:A,South Korea,M
996,Lee Minwoo,이민우,1979,Shinhwa,South Korea,M
997,Seo Minwoo,서민우,1985,100%,South Korea,M
998,Kim Minyeong,김민영,1990,Brave Girls,South Korea,F
999,Kong Minji,공민지,1994,2NE1,South Korea,F
1000,Bang Cheolyong,방철용,1991,MBLAQ,South Korea,M
1001,Lee Yoonsang,이윤상,2000,Astin,South Korea,M
1002,Su Mire,수미레,2006,TRI.BE,Japan,F
1003,Jo Mihye,조미혜,1981,Brown Eyed Girls,South Korea,F
1004,Park Miso,박미소,1991,Tahiti,South Korea,F
1005,Park Jihyun,박지현,1996,P.O.P,South Korea,F
1006,Jeon Jimin,전지민,2000,Dreamnote,South Korea,F
1007,Miyauchi Haruka,미야우치 하루카,1993,GWSN,Japan,F
1008,Jo Miyeon,조미연,1997,(G)I-DLE,South Korea,F
1009,Kim Myungjun,김명준,1994,ASTRO,South Korea,M
1010,Park Minkyun,박민균,1995,ONF,South Korea,M
1011,Sakura Moko,사쿠라 모코,1991,Honey Popcorn,Japan,F
1012,Hirai Momo,히라이 모모,1996,Twice,Japan,F
1013,Matsuda Momoka,마쓰다 모모카,2000,Pink Fantasy,Japan,F
1014,Kim Jimin,김지민,2002,Weeekly,South Korea,F
1015,Kang Yeh,강예,1991,BADKIZ,South Korea,F
1016,Moon Bin,문빈,1998,ASTRO,South Korea,M
1017,Moon Sua,문수아,1999,Billlie,South Korea,F
1018,Moon Byulyi,문별이,1992,Mamamoo,South Korea,F
1019,Choi Moonhee,최문희,1997,Bonus Baby,South Korea,F
1020,Jang Moonvok,장문복,1995,Limitless,South Korea,M
1021,Suh Kyungmin,서경민,2003,EPEX,South Korea,M
1022,Ko Sungho,고성호,2000,Kingdom,South Korea,M
1023,Jang Moonik,장문익,2001,Dongkiz,South Korea,M
1024,Kim Hyunwoo,김현우,2001,BAE173,South Korea,M
1025,Kim Myungji,김명지,1997,Tiny-G,South Korea,F
1026,Cha Hakyeon,차학연,1990,VIXX,South Korea,M
1027,Yoon Yejin,윤예진,1991,,South Korea,F
1028,Son Naeun,손나은,1994,,South Korea,F
1029,Lee Naeun,이나은,1999,APRIL,South Korea,F
1030,Kim Nahyun,김나현,1995,Sonamoo,South Korea,F
1031,Kang Nahyun,강나현,2002,HOT ISSUE,South Korea,F
1032,Yabuki Nako,야부키 나코,2001,IZ*ONE,Japan,F
1033,Shin Yooncheol,신윤철,1993,,South Korea,M
1034,Lee Nakyung,이나경,2000,fromis_9,South Korea,F
1035,Kim Namjoo,김남주,1995,Apink,South Korea,F
1036,Im Jinah,임진아,1991,After School,South Korea,F
1037,Kwon Nayeon,권나연,2001,woo!ah!,South Korea,F
1038,Nancy Mcdonie,낸시 맥다니,2000,MOMOLAND,South Korea,F
1039,Kwon Nara,권나라,1991,Hello Venus,South Korea,F
1040,Jung Hyunwoo,정현우,1996,MONT,South Korea,M
1041,Park Narae,박나래,1988,SPICA,South Korea,F
1042,Kim Nari,김나리,1992,Wassup,South Korea,F
1043,Lee Narin,이나린,2001,Bling Bling,South Korea,F
1044,Park Hyojin,박효진,1981,Brown Eyed Girls,South Korea,F
1045,Kim Duyeop,김두엽,1995,CHECKMATE,South Korea,M
1046,Im Nayeon,임나연,1995,Twice,South Korea,F
1047,Kim Nayoung,김나영,1995,Gugudan,South Korea,F
1048,Im Nayoung,임나영,1995,Pristin,South Korea,F
1049,Kim Nayoung,김나영,2002,LIGHTSUM,South Korea,F
1050,Kim Yewon,김예원,2002,ILY:1,South Korea,F
1051,Kim Nayun,김나윤,1998,MOMOLAND,South Korea,F
1052,Im Soeun,임소은,1996,UNI.T,South Korea,F
1053,Choi Chanhee,최찬희,1998,The Boyz,South Korea,M
1054,Choi Yoonsun,최윤선,1997,Sonamoo,South Korea,F
1055,Nishimura Riki,니시무라 리키,2005,ENHYPEN,Japan,M
1056,Nichkhun Horvejkul,닛차쿤 허라웻차꾼,1988,2:00 PM,Thailand,M
1057,Nicole Jung,정니콜,1991,,South Korea,F
1058,Ahn Daniel,안다니엘,1994,Teen Top,South Korea,M
1059,Jung Wookjin,정욱진,1999,OnlyOneOf,South Korea,M
1060,Ning Yizhuo,닝이쭤,2002,aespa,China,F
1061,Hwang Seundae,황승대,1998,CHECKMATE,South Korea,M
1062,Song Yubin,송유빈,2000,T1419,South Korea,M
1063,No Eul,노을,1989,Rainbow,South Korea,F
1064,Kim Sanchan,김상찬,1999,D-CRUNCH,South Korea,M
1065,Son Hyeju,손혜주,2001,LOONA,South Korea,F
1066,Choi Juhwan,최주환,2002,T1419,South Korea,M
1067,Jo Selim,조세림,2000,Everglow,South Korea,F
1068,Jo Wonjun,조원준,1988,Boys Republic,South Korea,M
1069,Lee Jinki,이진기,1989,SHINee,South Korea,M
1070,Park Sehyuk,박세혁,1991,,South Korea,M
1071,Pyo Jihoon,표지훈,1993,Block B,South Korea,M
1072,Park Kyung,박경,1992,Block B,South Korea,M
1073,Shin Donggeun,신동근,1993,BtoB,South Korea,M
1074,Pasidh Vataniyapromote,파싯 와타니야쁘라못,2003,Ghost9,Thailand,M
1075,Park Jaesang,박재상,1977,,South Korea,M
1076,Ji Changmin,지창민,1998,The Boyz,South Korea,M
1077,Lee Jihyun,이지현,1986,T-ara,South Korea,F
1078,Sung Nayeon,성나연,2000,APRIL,South Korea,F
1079,Jung Jihoon,정지훈,1982,,South Korea,M
1080,Oh Hyerin,오혜린,1989,After School,South Korea,F
1081,Chu Chingyu,주칭위,2000,bugAboo,Taiwan,F
1082,Seok Rakwon,석락원,2003,ATBO,South Korea,M
1083,Byun Yongseop,변용섭,1998,E'LAST,South Korea,M
1084,Lee Seoyoung,이서영,2000,ANS,South Korea,F
1085,Kim Wonsik,김원식,1993,VIXX,South Korea,M
1086,Kim Yoongjo,김영조,1995,Oneus,South Korea,M
1087,Lee Rayeon,이나연,2001,FANATICS,South Korea,F
1088,Lee Heejin,이희진,1991,Pungdeng-E,South Korea,F
1089,Naoi Rei,나오이 레이,2004,IVE,Japan,F
1090,Katsuno Rise,카츠노 리세,2001,Cherry Bullet,Japan,F
1091,Choi Minki,최민기,1995,NU'EST,South Korea,M
1092,Kang Yebin,강예빈,1998,Hinapia,South Korea,F
1093,Hwang Renjun,황런쥔,2000,NCT,China,M
1094,Kuwayama Ria,쿠와야마 리아,1998,BOTOPASS,Japan,F
1095,Yoo Changhyun,유창현,1995,Teen Top,South Korea,M
1096,Lee Seungho,이성호,1996,OnlyOneOf,South Korea,M
1097,Jin Seungwook,진승욱,1998,VARSITY,South Korea,M
1098,Lee Seunghyeon,이승현,2001,H1-KEY,South Korea,F
1099,Kang Soeun,강소은,2001,Weki Meki,South Korea,F
1100,Son Gwanghyuk,손광혁,1999,14U,South Korea,M
1101,Kishida Ririka,키시다 리리카,2002,ILY:1,Japan,F
1102,Kim Riwon,김리원,2007,CLASS:y,South Korea,F
1103,Kim Namjoon,김남준,1994,BTS,South Korea,M
1104,Kim Minkyung,김민경,1997,Hinapia,South Korea,F
1105,Park Minhyuk,박민혁,1999,ASTRO,South Korea,M
1106,Shin Joongmin,신중민,1998,MONT,South Korea,M
1107,Kim Sunho,김선호,1997,ARGON,South Korea,M
1108,Kim Rokhyun,김록현,1991,100%,South Korea,M
1109,Choi Youngmin,최영민,2001,E'LAST,South Korea,M
1110,Cheon Byeonghwa,천병화,1991,Bigflo,South Korea,M
1111,Chang Ching,장찡,2002,ILY:1,Taiwan,F
1112,Roseanne Park,로잔느 박,1997,BLACKPINK,South Korea,F
1113,Kim Seokwoo,김석우,1996,SF9,South Korea,M
1114,Jeon Hyunjoo,전현주,1998,ANS,South Korea,F
1115,Lee Haejoon,이해준,1995,1TEAM,South Korea,M
1116,Watanabe Rui,와타나베 루이,1994,H.U.B,Japan,F
1117,Jang Rui,장루이,2000,7 O'clock,South Korea,M
1118,Kim Ryeowook,김려욱,1987,Super Junior,South Korea,M
1119,Shin Ryujin,신류진,2001,ITZY,South Korea,F
1120,Choi Seungcheol,최승철,1995,Seventeen,South Korea,M
1121,Kim Saerok,김새록,1997,NATURE,South Korea,F
1122,Kim Seyoung,김세영,1995,Favorite,South Korea,F
1123,Shim Jaeyoung,심재영,1996,Ho1iday,South Korea,F
1124,Han Saebyeol,한새별,1996,Matilda,South Korea,F
1125,Lee Saerom,이새롬,1997,fromis_9,South Korea,F
1126,Jeon Sakang,정사강,2002,TheEastLight,South Korea,M
1127,Miyawaki Sakura,미야와키 사쿠라,1998,LE SSERAFIM,Japan,F
1128,Liu Xiening,류셰닝,1996,Gugudan,China,F
1129,Kim Samuel,김사무엘,2002,,South Korea,M
1130,Choi San,최산,1999,ATEEZ,South Korea,M
1131,Minatozaki Sana,미나토자키 사나,1996,Twice,Japan,F
1132,Lee Junghwan,이정환,1992,B1A4,South Korea,M
1133,Lee Sanga,이상아,1999,,South Korea,F
1134,Yoo Sangah,윤상아,2002,LIGHTSUM,South Korea,F
1135,Yoo Sangdo,유상도,1993,Topp Dogg,South Korea,M
1136,Jo Sangho,조상호,1995,SNUPER,South Korea,M
1137,Lee Sanghoon,이상훈,1993,,South Korea,M
1138,Shim Sangil,심상일,1993,SNUPER,South Korea,M
1139,Kim Sangmin,김상민,1992,CROSS GENE,South Korea,M
1140,Kim Sangwoo,김상우,2002,JUST B,South Korea,M
1141,Lee Sangyeon,이상연,1996,The Boyz,South Korea,M
1142,Yoon Sanha,윤산하,2000,ASTRO,South Korea,M
1143,Jeon Yujin,전유진,2001,Pixy,South Korea,F
1144,Kim Sujeong,김수정,1999,Highteen,South Korea,F
1145,Jang Sebin,장세빈,1996,SNUPER,South Korea,M
1146,Kang Eunyoung,강은영,1994,Pink Fantasy,South Korea,F
1147,Yoon Seeun,윤세은,2003,STAYC,South Korea,F
1148,Shin Segye,신세계,1998,AREAL,South Korea,F
1149,Oh Sehun,오세훈,1994,EXO,South Korea,M
1150,Kang Sehyung,강세형,1998,Berry Good,South Korea,F
1151,Lee Seojung,이서정,2000,Weki Meki,South Korea,F
1152,Kim Sejeong,김세정,1996,Gugudan,South Korea,F
1153,Lee Sejin,이세진,1999,14U,South Korea,M
1154,Lim Sejun,임세준,1996,VICTON,South Korea,M
1155,Jung Yeonjeong,정연정,2000,Cignature,South Korea,F
1156,Gu Semi,구세미,2002,Cignature,South Korea,F
1157,Oh Heesun,오희선,1995,Matilda,South Korea,F
1158,Park Hyunho,박현호,1992,,South Korea,M
1159,Park Seoham,박서함,1993,KNK,South Korea,M
1160,Lee Seoho,이서호,1996,Oneus,South Korea,M
1161,Seo Joohyun,서주현,1991,SNSD,South Korea,F
1162,Lee Yejin,이예진,2000,H1-KEY,South Korea,F
1163,Lee Seokchul,이석철,2000,TheEastLight,South Korea,M
1164,Kang Seokhwa,강석화,2000,WEi,South Korea,M
1165,Kim Seokyung,김서경,1999,GWSN,South Korea,F
1166,Min Jihye,민지혜,1997,P.O.P,South Korea,F
1167,Kim Hyunjung,김현정,1994,Cosmic Girls,South Korea,F
1168,Kim Seolhyun,김설현,1995,AoA,South Korea,F
1169,Park Seonghwa,박성화,1998,ATEEZ,South Korea,M
1170,Kim Seonglee,김성리,1994,,South Korea,M
1171,Ahn Seongmin,안성민,2003,CRAVITY,South Korea,M
1172,Ong Seunwu,옹성우,1995,Wanna One,South Korea,M
1173,Kim Seonyu,김선유,2008,CLASS:y,South Korea,F
1174,Lee Seoryung,이서령,2000,GWSN,South Korea,F
1175,Seo Won,서원,2000,NINE.i,South Korea,M
1176,Jang Seowon,장서원,2006,Lapillus,South Korea,F
1177,Lee Seoyeon,이서연,2000,fromis_9,South Korea,F
1178,Kim Minju,김민주,1995,Favorite,South Korea,F
1179,Yoon Seoyeon,윤서연,2003,tripleS,South Korea,F
1180,Kim Suyoung,김수영,1995,BOTOPASS,South Korea,F
1181,Lee Seoyoung,이서영,1994,Hello Venus,South Korea,F
1182,Seo Yuri,서유리,1997,Berry Good,South Korea,F
1183,Park Serim,박세림,1999,CRAVITY,South Korea,M
1184,Park Miyeon,박미연,1990,Dal Shabet,South Korea,F
1185,Kang Seulgi,강슬기,1994,Red Velvet,South Korea,F
1186,Jeong Seulgi,정슬기,1990,S#aFLA,South Korea,F
1187,Oh Seungah,오승아,1988,Rainbow,South Korea,F
1188,Kang Seungchan,강승찬,2003,Newkidd,South Korea,M
1189,Shim Seungeun,심승은,2000,BVNDIT,South Korea,F
1190,Lee Seunghan,이승한,1996,DUSTIN,South Korea,M
1191,Oh Seunghee,오승희,1995,CLC,South Korea,F
1192,Hyun Seunghee,현승희,1996,Oh My Girl,South Korea,F
1193,Yang Seungho,양승호,1987,MBLAQ,South Korea,M
1194,Kim Seunghun,김승훈,1999,CIX,South Korea,M
1195,Lee Seunghwan,이승환,1994,Romeo,South Korea,M
1196,Lee Seunghwan,이승환,2000,1the9,South Korea,M
1197,Jeong Seunghwan,정승환,2004,ATBO,South Korea,M
1198,Lee Seunghyub,이승협,1992,N.Flying,South Korea,M
1199,Song Seungyun,송승현,1992,FTISLAND,South Korea,M
1200,Lee Seunghyun,이승현,2001,TheEastLight,South Korea,M
1201,Ji Seungjun,지승준,1998,Astin,South Korea,M
1202,Boo Seungkwan,부승관,1998,Seventeen,South Korea,M
1203,Bae Seungmin,배승민,1998,Golden Child,South Korea,M
1204,Kim Seungmin,김승민,2000,Stray Kids,South Korea,M
1205,Lee Seungmin,이승민,1996,Hashtag,South Korea,F
1206,Lee Seunghyun,이승현,1990,,South Korea,M
1207,Kang Seungsik,강승식,1995,VICTON,South Korea,M
1208,Han Seungwoo,한승우,1994,VICTON,South Korea,M
1209,Jang Seunyeon,장승연,1996,CLC,South Korea,F
1210,Han Seungyeon,한승연,1988,KARA,South Korea,F
1211,Choi Seungyeop,최승엽,1997,E'LAST,South Korea,M
1212,Cho Seungyoon,조승연,1996,UNIQ,South Korea,M
1213,Park Seyeon,박세연,2001,Purplebeck,South Korea,F
1214,Kim Seyong,김세용,1991,MYNAME,South Korea,M
1215,Lee Seyoung,이세영,1990,CROSS GENE,South Korea,M
1216,Nonaka Shana,노나카 샤나,2003,Lapillus,Japan,F
1217,Kim Suyeon,김수연,2003,Billlie,South Korea,F
1218,Kwon Subin,권수빈,2001,BOTOPASS,South Korea,F
1219,Kim Shihyun,김시현,1998,We In The Zone,South Korea,M
1220,Shin Wonho,신원호,1991,CROSS GENE,South Korea,M
1221,Kim Suhyun,김수현,2000,Ghost9,South Korea,M
1222,Jung Pilkyo,정필교,1979,Shinhwa,South Korea,M
1223,Shin Donghee,신동희,1985,Super Junior,South Korea,M
1224,Go Shinwon,고신원,1995,PENTAGON,South Korea,M
1225,Kam Yerim,감예림,2004,MAJORS,South Korea,F
1226,Park Shinyoung,박신영,2000,G-reyish,South Korea,F
1227,Osaki Shotaro,오사키 쇼타로,2000,NCT,Japan,M
1228,Son Hyunwoo,손현우,1992,MONSTA X,South Korea,M
1229,Yeh Shuhua,예슈화,2000,(G)I-DLE,Taiwan,F
1230,Choi Changmin,최창민,2001,T1419,South Korea,M
1231,Lee Sieun,이시은,1993,CHECKMATE,South Korea,F
1232,Park Sieun,박시은,2001,STAYC,South Korea,F
1233,Kim Sihyeon,김시현,1999,Everglow,South Korea,F
1234,Kang Sihyeon,강시현,1998,ARIAZ,South Korea,F
1235,Kim Sihyoung,김시형,1992,HISTORY,South Korea,M
1236,Park Sihyun,박시현,1986,SPICA,South Korea,F
1237,Ren Shika,렌 시카,1995,,China,F
1238,Lee Simyeong,이시명,1999,BVNDIT,South Korea,F
1239,Hwang Eunbi,황은비,1998,VIVIZ,South Korea,F
1240,Kim Sion,김시온,2004,YOUNITE,South Korea,M
1241,Sitala Wongkrachang,시탈라 웡크라창,1996,,Thailand,F
1242,Hwang Inseok,황인석,1995,DUSTIN,South Korea,M
1243,Yim Siwan,임시완,1988,ZE:A,South Korea,M
1244,Choi Siwon,최시원,1986,Super Junior,South Korea,M
1245,Yoo Siwoo,유시우,2001,TRCNG,South Korea,M
1246,Park Siwoo,박시우,2001,BLANK2Y,South Korea,M
1247,Lee Siyeon,이시연,1995,Dreamcatcher,South Korea,F
1248,Kim Siyoon,김시윤,2005,Billlie,South Korea,F
1249,Park Siyoung,박시영,2003,Mirae,South Korea,M
1250,Park Sodam,박소담,2004,BLANK2Y,South Korea,M
1251,Park Soeun,박소은,2002,Weeekly,South Korea,F
1252,Bang Soeun,방소은,2005,TRI.BE,South Korea,F
1253,Kim Sohee,소희,1995,Nature,South Korea,F
1254,Kim Sohee,김소희,1999,ALICE,South Korea,F
1255,Kim Sohee,김소희,2003,Rocket Punch,South Korea,F
1256,Uhm Sohee,음소희,2004,ICHILLIN',South Korea,F
1257,Kim Sohye,김소혜,1999,,South Korea,F
1258,Kwon Sohyun,권소현,1994,4minute,South Korea,F
1259,Park Sojin,박소진,1986,Girl's Day,South Korea,F
1260,Jo Sojin,조소진,1991,9Muses,South Korea,F
1261,Hong Sojin,홍소진,1999,Hashtag,South Korea,F
1262,Lee Sojung,이소정,1993,Ladies' Code,South Korea,F
1263,Kim Yongsun,김용선,1991,Mamamoo,South Korea,F
1264,Ahn Solbin,안솔빈,1997,LABOUM,South Korea,F
1265,Heo Solji,허솔지,1989,EXID,South Korea,F
1266,Jeon Somi,전소미,2001,,South Korea,F
1267,Jang Somin,장소민,1993,BADKIZ,South Korea,F
1268,Jeon Somin,전소민,1996,KARD,South Korea,F
1269,Ahn Somyi,안솜이,2000,DIA,South Korea,F
1270,Song Yunhyeong,송윤형,1995,iKON,South Korea,M
1271,Yoon Songhee,윤송희,1998,BVNDIT,South Korea,F
1272,Kim Songsun,김송선,1997,TRI.BE,South Korea,F
1273,Park Songyee,박송이,2004,,South Korea,F
1274,Park Soobin,박수빈,1996,Cosmic Girls,South Korea,F
1275,Choi Soobin,최수빈,2000,TXT,South Korea,M
1276,Lee Soodam,이수담,1999,SECRET NUMBER,South Korea,F
1277,Shin Soohyun,신수현,1989,U-KISS,South Korea,M
1278,Seo Soojin,서수진,1998,,South Korea,F
1279,Lee Soojin,이수진,2001,Weeekly,South Korea,F
1280,Hwang Soojung,황수정,2001,Hi-L,South Korea,F
1281,Choi Sooyoung,최수영,1990,SNSD,South Korea,F
1282,Sakata Sora,사카타 소라,2003,woo!ah!,Japan,F
1283,Chonnasorn Sajakul,촌나손 사짜꾼,1996,CLC,Thailand,F
1284,Wang Chingyi,왕징이,2001,GWSN,Taiwan,F
1285,Haku Shota,하쿠 쇼타,2005,P1Harmony,Japan,M
1286,Kim Sojung,김소정,1995,Gfriend,South Korea,F
1287,Nam Soeun,남소은,2004,TRACER,South Korea,F
1288,Jang Sojin,장소진,1996,Gugudan,South Korea,F
1289,Jung Soyeon,정소연,1994,LABOUM,South Korea,F
1290,Park Soyeon,박소연,1987,,South Korea,F
1291,Jeon Soyeon,전소연,1998,(G)I-DLE,South Korea,F
1292,Kang Jihyun,강지현,1992,SISTAR,South Korea,F
1293,Yoo Soyoung,유소영,1996,,South Korea,F
1294,Park Hyekyeong,박혜경,1991,Crayon Pop,South Korea,F
1295,Lee Geumhyuk,이금혁,1991,VAV,South Korea,M
1296,Lim Dohyun,임도현,2002,YOUNITE,South Korea,M
1297,Kim Steven,킴 스티븐,2000,Luminous,South Korea,M
1298,Kim Bora,김보라,1994,Dreamcatcher,South Korea,F
1299,Yang Sua,양수아,1995,Hashtag,South Korea,F
1300,Choi Sooah,최수아,2003,Pixy,South Korea,F
1301,Park Subin,박수빈,1994,Dal Shabet,South Korea,F
1302,Jung Subin,정수빈,1999,VICTON,South Korea,M
1303,Oh Subin,오수빈,1998,Hashtag,South Korea,F
1304,Min Yoongi,민윤기,1993,BTS,South Korea,M
1305,Jo Sugyeong,조수경,2000,Favorite,South Korea,F
1306,Kim Junmyeon,김준면,1991,EXO,South Korea,M
1307,Kim Seunghyun,김승현,1988,S#aFLA,South Korea,F
1308,Kim Suhyun,김수현,2000,Billlie,South Korea,F
1309,Choi Hyunggeun,최형근,1992,SNUPER,South Korea,M
1310,Ma Suil,마수일,1999,Luminous,South Korea,M
1311,Ryu Sujeong,류수정,1997,Lovelyz,South Korea,F
1312,Lee Suji,이수지,1998,UNI.T,South Korea,F
1313,Bang Sujin,방수진,1996,Wassup,South Korea,F
1314,Choi Jinri,최진리,1994,,South Korea,F
1315,Seol Yoona,설윤아,2004,NMIXX,South Korea,F
1316,Ji Sumin,지수민,1994,Sonamoo,South Korea,F
1317,Park Sumin,박수민,2001,Dreamnote,South Korea,F
1318,Bae Sumin,배수민,2001,STAYC,South Korea,F
1319,Jeon Heesun,전희선,2001,Girlkind,South Korea,F
1320,Son Sungah,손성아,1989,9Muses,South Korea,F
1321,Jung Sungchan,정성찬,2001,NCT,South Korea,M
1322,Park Sunghoon,박성훈,2002,ENHYPEN,South Korea,M
1323,Seo Sunghyuk,서성혁,1999,,South Korea,M
1324,Kim Sunghyun,김성현,1996,IN2IT,South Korea,M
1325,Yook Sungjae,육성재,1995,BtoB,South Korea,M
1326,Park Sungjin,박성진,1993,DAY6,South Korea,M
1327,Lee Sungjong,이성종,1993,Infinite,South Korea,M
1328,Kim Sungjoo,김성주,1994,UNIQ,South Korea,M
1329,Park Sungjun,박성준,1992,Boys Republic,South Korea,M
1330,Lee Sungjun,이성준,2002,BLANK2Y,South Korea,M
1331,Oh Sungjun,오성준,2005,TNX,South Korea,M
1332,Kim Sungkyu,김성규,1989,Infinite,South Korea,M
1333,Lee Sungmin,이성민,1986,Super Junior,South Korea,M
1334,Oh Sungmin,오성민,1990,Bigflo,South Korea,M
1335,Yoo Sungoh,유성오,1991,,South Korea,M
1336,Ha Sungwoon,하성운,1994,Wanna One,South Korea,M
1337,Lee Sungyeol,이성열,1991,Infinite,South Korea,M
1338,Bae Sungyeon,배성연,1999,Pristin,USA,F
1339,Han Sunhwa,한선화,1990,,South Korea,F
