ID,Full Name,Korean Name,Birth Year,Group,Country,Gender
147,Park Choa,박초아,1990,,South Korea,F
148,Heo Minjin,허민진,1990,Crayon Pop,South Korea,F
149,Choi Yerim,최예림,2001,LOONA,South Korea,F
150,Choi In,최인,1996,E'LAST,South Korea,M
151,Choi Jaewoo,최재우,1997,Newkidd,South Korea,M
152,Park Chorong,박초롱,1991,Apink,South Korea,F
153,Han Chowon,한초원,2002,LIGHTSUM,South Korea,F
154,Kim Chowon,김초원,2005,ICHILLIN',South Korea,F
155,Kim Choyeon,김초연,2001,bugAboo,South Korea,F
156,Han Chris,한 크리스,2002,BLITZERS,South Korea,M
157,Kim Chungha,김청하,1996,,South Korea,F
158,Lee Chanhee,이찬희,1993,Teen Top,South Korea,M
159,Kim Jiwoo,김지우,1999,LOONA,South Korea,F
160,Lee Chaerin,이채린,1991,2NE1,South Korea,F
161,Shin Dongwoo,신동우,1991,B1A4,South Korea,M
162,Hong Joohyung,홍주현,1990,24K,South Korea,M
163,Cui Xiang,최상,1995,BOTOPASS,China,F
164,Lee Giwook,이기욱,2000,Onewe,South Korea,M
165,Lee Chaeeun,이채은,2001,bugAboo,South Korea,F
166,Cho Eunae,조은애,1995,Sonamoo,South Korea,F
167,Do Kyungsoo,도경수,1993,EXO,South Korea,M
168,Jang Dongil,장동일,1998,DKB,South Korea,M
169,Park Jiwon,박지원,2000,AREAL,South Korea,F
170,Lee Daehwi,이대휘,2001,AB6IX,South Korea,M
171,Jang Daehyeon,장대현,1997,WEi,South Korea,M
172,Jung Daehyun,정대현,1993,B.A.P,South Korea,M
173,Kim Daeil,김대일,1992,,South Korea,M
174,Daesung,강대성,1989,BIGBANG,South Korea,M
175,Jung Daeun,정다은,1994,2EYES,South Korea,F
176,Daewang Nim,대왕님,1996,Pink Fantasy,South Korea,F
177,Lee Daeyeol,이대열,1993,Golden Child,South Korea,M
178,Song Dahye,송다혜,1993,,South Korea,F
179,Kim Dahyun,김다현,1998,Twice,South Korea,F
180,Jeong Dahyun,정다현,2005,Rocket Punch,South Korea,F
181,Song Jieun,송지은,1990,,South Korea,F
182,Jung Dain,정다인,2004,HOT ISSUE,South Korea,F
