   Value:      BST:      AVL:    Splay: 
       714       714        10         1
       715       715         8         1
       716       716        10         1
       717       717         9         1
       718       718        10         1
       719       719         6         1
       720       720        10         1
       721       721         9         1
       722       722        10         1
       723       723         8         1
       724       724        10         1
       725       725         9         1
       726       726        10         1
       727       727         7         1
       728       728        10         1
       729       729         9         1
       730       730        10         1
       731       731         8         1
       732       732        10         1
       733       733         9         1
       734       734        10         1
       735       735         5         1
       736       736        10         1
       737       737         9         1
       738       738        10         1
       739       739         8         1
       740       740        10         1
       741       741         9         1
       742       742        10         1
       743       743         7         1
       744       744        10         1
       745       745         9         1
       746       746        10         1
       747       747         8         1
       748       748        10         1
       749       749         9         1
       750       750        10         1
       751       751         6         1
       752       752        10         1
       753       753         9         1
       754       754        10         1
       755       755         8         1
       756       756        10         1
       757       757         9         1
       758       758        10         1
       759       759         7         1
       760       760        10         1
       761       761         9         1
       762       762        10         1
       763       763         8         1
       764       764        10         1
       765       765         9         1
       766       766        10         1
       767       767         2         1
       768       768        10         1
       769       769         9         1
       770       770        10         1
       771       771         8         1
       772       772        10         1
       773       773         9         1
       774       774        10         1
       775       775         7         1
       776       776        10         1
       777       777         9         1
       778       778        10         1
       779       779         8         1
       780       780        10         1
       781       781         9         1
       782       782        10         1
       783       783         6         1
       784       784        10         1
       785       785         9         1
       786       786        10         1
       787       787         8         1
       788       788        10         1
       789       789         9         1
       790       790        10         1
       791       791         7         1
       792       792        10         1
       793       793         9         1
       794       794        10         1
       795       795         8         1
       796       796        10         1
       797       797         9         1
       798       798        10         1
       799       799         5         1
       800       800        10         1
       801       801         9         1
       802       802        10         1
       803       803         8         1
       804       804        10         1
       805       805         9         1
       806       806        10         1
       807       807         7         1
       808       808        10         1
       809       809         9         1
       810       810        10         1
       811       811         8         1
       812       812        10         1
       813       813         9         1
       814       814        10         1
       815       815         6         1
       816       816        10         1
       817       817         9         1
       818       818        10         1
       819       819         8         1
       820       820        10         1
       821       821         9         1
       822       822        10         1
       823       823         7         1
       824       824        10         1
       825       825         9         1
       826       826        10         1
       827       827         8         1
       828       828        10         1
       829       829         9         1
       830       830        10         1
       831       831         4         1
       832       832        10         1
       833       833         9         1
